oid,t,lon,lat
9,1443650832,-4.7825484,47.98375
2,1443650832,-4.4965734,48.38242
16,1443650833,-4.5124984,48.370834
1,1443650833,-4.4657435,48.382446
4,1443650834,-4.48506,48.381306
3,1443650836,-4.66943,48.09018
20,1443650837,-4.3268385,48.09865
27,1443650838,-4.405462,48.121414
12,1443650838,-4.45941,48.11766
8,1443650839,-4.763835,47.965897
0,1443650839,-4.373905,48.118107
7,1443650839,-4.4253116,48.150974
9,1443650840,-4.782615,47.983284
10,1443650841,-4.4726334,48.16605
1,1443650842,-4.465745,48.382446
16,1443650843,-4.5124984,48.370834
4,1443650845,-4.4850717,48.3813
3,1443650846,-4.670015,48.090145
0,1443650847,-4.3742967,48.118122
19,1443650848,-4.486058,48.38062
8,1443650848,-4.7637115,47.965473
7,1443650850,-4.4247184,48.15086
9,1443650850,-4.782698,47.982765
10,1443650851,-4.4726915,48.166046
1,1443650852,-4.465745,48.382446
16,1443650853,-4.5124984,48.370834
4,1443650855,-4.485077,48.381294
3,1443650855,-4.6705933,48.090103
0,1443650858,-4.374833,48.118153
21,1443650859,-4.485995,48.380726
7,1443650860,-4.4241133,48.150883
10,1443650862,-4.4727736,48.166046
22,1443650862,-4.485715,48.381092
16,1443650863,-4.512665,48.370834
4,1443650864,-4.4850783,48.3813
1,1443650864,-4.4657435,48.382446
3,1443650865,-4.67118,48.09005
5,1443650867,-4.4954567,48.383675
8,1443650868,-4.763448,47.964535
7,1443650870,-4.423505,48.15091
10,1443650870,-4.47284,48.16604
1,1443650873,-4.46574,48.382446
4,1443650874,-4.485075,48.381317
16,1443650874,-4.512665,48.370834
3,1443650874,-4.6717114,48.090004
20,1443650877,-4.3268485,48.09865
0,1443650879,-4.375857,48.118195
10,1443650880,-4.472915,48.166035
1,1443650881,-4.46574,48.38245
2,1443650882,-4.4965734,48.382412
16,1443650884,-4.512665,48.370834
4,1443650885,-4.485077,48.381325
3,1443650885,-4.672362,48.089954
0,1443650888,-4.3762965,48.1182
7,1443650889,-4.4223285,48.15093
10,1443650890,-4.47298,48.166027
9,1443650891,-4.7828984,47.980682
2,1443650892,-4.49658,48.38242
12,1443650893,-4.4560585,48.117893
1,1443650893,-4.4657383,48.382454
16,1443650893,-4.512665,48.370834
4,1443650893,-4.485085,48.381325
12,1443650893,-4.4560585,48.117893
23,1443650895,-4.4766383,48.339153
12,1443650895,-4.4559364,48.11791
3,1443650896,-4.6729383,48.089928
12,1443650898,-4.4557533,48.117935
0,1443650899,-4.376845,48.118187
9,1443650900,-4.7829485,47.980232
10,1443650901,-4.473058,48.166023
12,1443650901,-4.4555717,48.11796
1,1443650902,-4.465737,48.38246
16,1443650903,-4.512665,48.370834
4,1443650905,-4.48509,48.381325
3,1443650906,-4.673515,48.089897
0,1443650907,-4.377235,48.11817
5,1443650907,-4.495455,48.383667
7,1443650910,-4.421035,48.15106
9,1443650910,-4.7829986,47.979717
10,1443650911,-4.473125,48.166008
1,1443650913,-4.4657416,48.38247
16,1443650913,-4.512665,48.370834
3,1443650914,-4.674035,48.08985
2,1443650914,-4.496585,48.382427
24,1443650915,-4.45238,48.384647
4,1443650915,-4.4850984,48.381313
20,1443650916,-4.3268332,48.098648
8,1443650918,-4.762825,47.96216
0,1443650919,-4.377818,48.118153
12,1443650919,-4.4544683,48.11804
7,1443650920,-4.420425,48.151146
10,1443650921,-4.473203,48.16599
2,1443650922,-4.496588,48.382427
1,1443650923,-4.4657536,48.38248
16,1443650923,-4.512665,48.370834
4,1443650924,-4.4851017,48.381313
3,1443650925,-4.6746817,48.089813
0,1443650927,-4.3782067,48.118145
12,1443650929,-4.4539266,48.11811
9,1443650930,-4.7830815,47.978683
10,1443650930,-4.4732685,48.16598
29,1443650930,-4.65736,48.09059
1,1443650933,-4.4657636,48.382492
4,1443650934,-4.485115,48.38132
16,1443650934,-4.512665,48.370834
26,1443650934,-4.4857817,48.37982
3,1443650935,-4.6751986,48.089787
20,1443650937,-4.3268366,48.09865
12,1443650937,-4.453387,48.11819
0,1443650939,-4.378792,48.118145
8,1443650939,-4.7624965,47.961174
10,1443650940,-4.4733534,48.165966
9,1443650940,-4.7831316,47.97817
1,1443650941,-4.4657664,48.3825
2,1443650942,-4.496595,48.382423
16,1443650943,-4.512665,48.370834
4,1443650945,-4.485093,48.381325
3,1443650945,-4.6758432,48.089745
0,1443650948,-4.37923,48.118168
10,1443650950,-4.47344,48.165955
9,1443650951,-4.7831817,47.9776
2,1443650952,-4.4965982,48.382412
1,1443650953,-4.46577,48.382507
16,1443650953,-4.512665,48.370834
4,1443650953,-4.485083,48.38133
3,1443650956,-4.6764283,48.089695
0,1443650958,-4.3797717,48.118195
7,1443650959,-4.41798,48.151455
9,1443650960,-4.7832317,47.977135
10,1443650961,-4.4735117,48.165947
1,1443650962,-4.4657664,48.382507
16,1443650963,-4.512665,48.370834
2,1443650964,-4.496595,48.38241
4,1443650965,-4.4850864,48.38133
3,1443650966,-4.67702,48.089664
5,1443650967,-4.49545,48.38365
0,1443650967,-4.380163,48.118214
11,1443650969,-4.4892836,48.377186
10,1443650971,-4.473565,48.165943
9,1443650971,-4.7832985,47.97658
1,1443650973,-4.46576,48.382507
16,1443650973,-4.512665,48.370834
2,1443650974,-4.4965734,48.38244
4,1443650974,-4.4850917,48.38133
3,1443650974,-4.6775484,48.089622
0,1443650979,-4.3807483,48.118233
10,1443650981,-4.4736233,48.16594
1,1443650983,-4.4657617,48.382496
2,1443650983,-4.49657,48.382454
4,1443650984,-4.4851,48.38133
3,1443650984,-4.6781282,48.08956
5,1443650986,-4.4954567,48.383648
12,1443650987,-4.450333,48.118427
0,1443650988,-4.381137,48.118233
14,1443650988,-4.4970264,48.20726
12,1443650989,-4.4502735,48.118435
9,1443650989,-4.783448,47.975616
7,1443650989,-4.416135,48.15167
10,1443650990,-4.4736814,48.16593
12,1443650992,-4.450092,48.11846
1,1443650993,-4.4657664,48.38249
2,1443650993,-4.49657,48.382454
4,1443650994,-4.4851,48.381332
3,1443650995,-4.678735,48.089527
15,1443650998,-4.516198,48.36835
7,1443650998,-4.4155865,48.151733
20,1443650998,-4.3268332,48.098648
0,1443650999,-4.3817334,48.118225
8,1443650999,-4.7617683,47.95841
10,1443651000,-4.47376,48.165928
17,1443651002,-4.514732,48.369507
2,1443651002,-4.496565,48.382454
18,1443651004,-4.4794383,48.382866
4,1443651005,-4.4850783,48.38132
3,1443651005,-4.6793866,48.0895
12,1443651005,-4.44925,48.11856
5,1443651008,-4.4954534,48.383633
7,1443651008,-4.41497,48.151806
0,1443651009,-4.382223,48.1182
10,1443651010,-4.473837,48.16592
2,1443651013,-4.496567,48.38245
1,1443651013,-4.465773,48.38248
3,1443651015,-4.679915,48.089462
4,1443651015,-4.485083,48.381325
0,1443651018,-4.3827133,48.11818
7,1443651019,-4.414295,48.15188
9,1443651020,-4.7835984,47.974133
10,1443651021,-4.4739165,48.16593
1,1443651022,-4.465757,48.38246
2,1443651024,-4.4965615,48.382446
3,1443651025,-4.680575,48.089428
4,1443651025,-4.485093,48.381336
0,1443651027,-4.3831,48.11817
5,1443651028,-4.4954567,48.383625
19,1443651029,-4.4859815,48.380634
7,1443651030,-4.4136834,48.15195
10,1443651030,-4.47399,48.16593
9,1443651031,-4.7836485,47.973583
1,1443651033,-4.465747,48.382454
2,1443651033,-4.496558,48.382435
4,1443651034,-4.485095,48.381336
3,1443651034,-4.681115,48.089394
21,1443651038,-4.485935,48.38072
8,1443651038,-4.7612815,47.9566
0,1443651038,-4.3838015,48.11818
27,1443651040,-4.3926983,48.122345
7,1443651040,-4.413075,48.152027
9,1443651041,-4.783682,47.973083
10,1443651041,-4.4740915,48.165928
22,1443651042,-4.485707,48.38108
1,1443651043,-4.46574,48.382454
2,1443651043,-4.4965568,48.382435
3,1443651044,-4.68171,48.089363
4,1443651044,-4.48509,48.381332
5,1443651046,-4.4954634,48.38362
9,1443651049,-4.783715,47.97262
7,1443651049,-4.4124565,48.152092
10,1443651051,-4.474167,48.165928
1,1443651053,-4.46574,48.382454
2,1443651053,-4.4965615,48.382423
4,1443651054,-4.48509,48.381332
3,1443651055,-4.682308,48.08932
20,1443651057,-4.32683,48.098648
0,1443651059,-4.3851786,48.118225
10,1443651060,-4.4742484,48.16593
7,1443651060,-4.411845,48.152172
1,1443651062,-4.4657383,48.382458
2,1443651062,-4.4965568,48.382412
4,1443651065,-4.485093,48.381332
3,1443651065,-4.6829534,48.08926
5,1443651067,-4.495475,48.38362
0,1443651069,-4.385885,48.11824
10,1443651071,-4.474335,48.16592
2,1443651073,-4.4965615,48.38241
1,1443651073,-4.4657335,48.38246
4,1443651075,-4.4851017,48.38133
3,1443651075,-4.683483,48.08921
23,1443651076,-4.47659,48.339172
0,1443651079,-4.3866014,48.118248
10,1443651080,-4.474408,48.16592
1,1443651082,-4.4657316,48.38246
4,1443651084,-4.4851084,48.381325
2,1443651084,-4.49657,48.38241
3,1443651085,-4.684137,48.089165
0,1443651088,-4.387173,48.11825
7,1443651090,-4.410022,48.152374
10,1443651091,-4.47448,48.165928
2,1443651093,-4.496577,48.38241
24,1443651093,-4.45242,48.384632
1,1443651093,-4.465755,48.382504
4,1443651094,-4.48511,48.381325
3,1443651094,-4.6846733,48.08912
20,1443651096,-4.326832,48.09865
12,1443651097,-4.4436717,48.119072
0,1443651098,-4.387962,48.11827
8,1443651099,-4.7605066,47.953854
7,1443651100,-4.4094214,48.152477
10,1443651102,-4.4745584,48.165905
16,1443651104,-4.512665,48.370834
4,1443651104,-4.48511,48.381332
25,1443651105,-4.4591084,48.386013
3,1443651105,-4.6852717,48.089096
0,1443651109,-4.3887534,48.118263
7,1443651110,-4.408903,48.152706
10,1443651111,-4.4746265,48.16591
1,1443651112,-4.4657316,48.38249
2,1443651114,-4.4965916,48.382412
4,1443651114,-4.4851065,48.381332
26,1443651114,-4.4857883,48.37982
3,1443651115,-4.685867,48.089054
0,1443651119,-4.389467,48.11824
10,1443651120,-4.47472,48.165905
1,1443651123,-4.4657283,48.382492
3,1443651125,-4.686517,48.08901
4,1443651125,-4.485105,48.381344
0,1443651129,-4.390177,48.11822
6,1443651129,-4.488045,48.37739
9,1443651131,-4.784148,47.968567
10,1443651132,-4.47482,48.165886
2,1443651133,-4.4965916,48.382427
1,1443651133,-4.465727,48.382496
4,1443651135,-4.485103,48.381344
3,1443651135,-4.687043,48.088955
0,1443651139,-4.390885,48.118214
7,1443651139,-4.407747,48.153675
10,1443651140,-4.4748917,48.16588
2,1443651144,-4.49658,48.382446
4,1443651144,-4.4850965,48.38134
3,1443651145,-4.6876764,48.088894
0,1443651147,-4.3914485,48.11822
11,1443651149,-4.4892783,48.3772
10,1443651151,-4.4749517,48.165882
2,1443651153,-4.496585,48.38245
1,1443651153,-4.4657135,48.382515
4,1443651155,-4.485093,48.381336
3,1443651155,-4.6882033,48.088837
